caption_pos,caption_neg,relation,shape1,color1,shape2,color2,image
To the left of the blue cylinder is the blue cube,To the left of the blue cube is the blue cylinder,left,cube,blue,cylinder,blue,000001.png
There is a blue cube to the left of a blue cylinder,There is a blue cylinder to the left of a blue cube,left,cube,blue,cylinder,blue,000002.png
The blue cube is to the left of the brown cylinder,The brown cylinder is to the left of the blue cube,left,cube,blue,cylinder,brown,000003.png
To the left of the brown cylinder is the blue cube,To the left of the blue cube is the brown cylinder,left,cube,blue,cylinder,brown,000004.png
To the left of the cyan cylinder is the blue cube,To the left of the blue cube is the cyan cylinder,left,cube,blue,cylinder,cyan,000007.png
There is a blue cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a blue cube,left,cube,blue,cylinder,cyan,000008.png
To the left of the gray cylinder is the blue cube,To the left of the blue cube is the gray cylinder,left,cube,blue,cylinder,gray,000010.png
There is a blue cube to the left of a gray cylinder,There is a gray cylinder to the left of a blue cube,left,cube,blue,cylinder,gray,000011.png
The blue cube is to the left of the green cylinder,The green cylinder is to the left of the blue cube,left,cube,blue,cylinder,green,000012.png
There is a blue cube to the left of a green cylinder,There is a green cylinder to the left of a blue cube,left,cube,blue,cylinder,green,000014.png
The blue cube is to the left of the purple cylinder,The purple cylinder is to the left of the blue cube,left,cube,blue,cylinder,purple,000015.png
To the left of the purple cylinder is the blue cube,To the left of the blue cube is the purple cylinder,left,cube,blue,cylinder,purple,000016.png
The blue cube is to the left of the red cylinder,The red cylinder is to the left of the blue cube,left,cube,blue,cylinder,red,000018.png
To the left of the red cylinder is the blue cube,To the left of the blue cube is the red cylinder,left,cube,blue,cylinder,red,000019.png
To the left of the yellow cylinder is the blue cube,To the left of the blue cube is the yellow cylinder,left,cube,blue,cylinder,yellow,000022.png
There is a blue cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a blue cube,left,cube,blue,cylinder,yellow,000023.png
The brown cube is to the left of the blue cylinder,The blue cylinder is to the left of the brown cube,left,cube,brown,cylinder,blue,000024.png
To the left of the blue cylinder is the brown cube,To the left of the brown cube is the blue cylinder,left,cube,brown,cylinder,blue,000025.png
The brown cube is to the left of the brown cylinder,The brown cylinder is to the left of the brown cube,left,cube,brown,cylinder,brown,000027.png
To the left of the brown cylinder is the brown cube,To the left of the brown cube is the brown cylinder,left,cube,brown,cylinder,brown,000028.png
The brown cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the brown cube,left,cube,brown,cylinder,cyan,000030.png
To the left of the cyan cylinder is the brown cube,To the left of the brown cube is the cyan cylinder,left,cube,brown,cylinder,cyan,000031.png
The brown cube is to the left of the gray cylinder,The gray cylinder is to the left of the brown cube,left,cube,brown,cylinder,gray,000033.png
To the left of the gray cylinder is the brown cube,To the left of the brown cube is the gray cylinder,left,cube,brown,cylinder,gray,000034.png
To the left of the green cylinder is the brown cube,To the left of the brown cube is the green cylinder,left,cube,brown,cylinder,green,000037.png
There is a brown cube to the left of a green cylinder,There is a green cylinder to the left of a brown cube,left,cube,brown,cylinder,green,000038.png
The brown cube is to the left of the purple cylinder,The purple cylinder is to the left of the brown cube,left,cube,brown,cylinder,purple,000039.png
To the left of the purple cylinder is the brown cube,To the left of the brown cube is the purple cylinder,left,cube,brown,cylinder,purple,000040.png
To the left of the red cylinder is the brown cube,To the left of the brown cube is the red cylinder,left,cube,brown,cylinder,red,000043.png
There is a brown cube to the left of a red cylinder,There is a red cylinder to the left of a brown cube,left,cube,brown,cylinder,red,000044.png
The brown cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the brown cube,left,cube,brown,cylinder,yellow,000045.png
To the left of the yellow cylinder is the brown cube,To the left of the brown cube is the yellow cylinder,left,cube,brown,cylinder,yellow,000046.png
The cyan cube is to the left of the blue cylinder,The blue cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,blue,000048.png
There is a cyan cube to the left of a blue cylinder,There is a blue cylinder to the left of a cyan cube,left,cube,cyan,cylinder,blue,000050.png
The cyan cube is to the left of the brown cylinder,The brown cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,brown,000051.png
To the left of the brown cylinder is the cyan cube,To the left of the cyan cube is the brown cylinder,left,cube,cyan,cylinder,brown,000052.png
The cyan cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,cyan,000054.png
There is a cyan cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a cyan cube,left,cube,cyan,cylinder,cyan,000056.png
The cyan cube is to the left of the gray cylinder,The gray cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,gray,000057.png
