caption_pos,caption_neg,relation,shape1,color1,shape2,color2,image
The blue cube is to the left of the brown cylinder,The brown cylinder is to the left of the blue cube,left,cube,blue,cylinder,brown,000001.png
The blue cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the blue cube,left,cube,blue,cylinder,cyan,000002.png
The blue cube is to the left of the gray cylinder,The gray cylinder is to the left of the blue cube,left,cube,blue,cylinder,gray,000003.png
The blue cube is to the left of the green cylinder,The green cylinder is to the left of the blue cube,left,cube,blue,cylinder,green,000004.png
The blue cube is to the left of the red cylinder,The red cylinder is to the left of the blue cube,left,cube,blue,cylinder,red,000006.png
The blue cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the blue cube,left,cube,blue,cylinder,yellow,000007.png
The brown cube is to the left of the blue cylinder,The blue cylinder is to the left of the brown cube,left,cube,brown,cylinder,blue,000008.png
The brown cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the brown cube,left,cube,brown,cylinder,cyan,000010.png
The brown cube is to the left of the gray cylinder,The gray cylinder is to the left of the brown cube,left,cube,brown,cylinder,gray,000011.png
The brown cube is to the left of the purple cylinder,The purple cylinder is to the left of the brown cube,left,cube,brown,cylinder,purple,000013.png
The brown cube is to the left of the red cylinder,The red cylinder is to the left of the brown cube,left,cube,brown,cylinder,red,000014.png
The brown cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the brown cube,left,cube,brown,cylinder,yellow,000015.png
The cyan cube is to the left of the brown cylinder,The brown cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,brown,000017.png
The cyan cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,cyan,000018.png
The cyan cube is to the left of the gray cylinder,The gray cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,gray,000019.png
The cyan cube is to the left of the green cylinder,The green cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,green,000020.png
The cyan cube is to the left of the purple cylinder,The purple cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,purple,000021.png
The cyan cube is to the left of the red cylinder,The red cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,red,000022.png
The cyan cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,yellow,000023.png
The gray cube is to the left of the blue cylinder,The blue cylinder is to the left of the gray cube,left,cube,gray,cylinder,blue,000024.png
The gray cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the gray cube,left,cube,gray,cylinder,cyan,000026.png
The gray cube is to the left of the gray cylinder,The gray cylinder is to the left of the gray cube,left,cube,gray,cylinder,gray,000027.png
The gray cube is to the left of the green cylinder,The green cylinder is to the left of the gray cube,left,cube,gray,cylinder,green,000028.png
